CÓDIGO;CNPJ;STATUS
1500;43857223000182;Parametro Correto
1278;33936672000162;Parametro Correto
1289;44636637000144;Parametro Correto
1340;32263991000191;Parametro Correto
1826;23598627000191;Parametro Correto
1946;11819449000100;Parametro Correto
1814;09537159000114;Parametro Correto
2053;16888447000189;Parametro Correto
2016;24310270000167;Parametro Correto
1693;04911191000102;Parametro Correto
1207;02901753000101;Parametro Correto
3480;29501992000112;Parametro Correto
347;01382850000164;Parametro Correto
1986;32116240000142;Parametro Correto
#N/D;45528403000146;Empresa não encontrada
1557;01849585000181;Parametro Correto
3530;50456342000199;Parametro Correto
2268;05614988000100;Parametro Correto
2223;13535765000178;Parametro Correto
2282;20302930000107;Parametro Correto
1197;05359515000104;Parametro Correto
3299;05359515000287;Parametro Correto
120;58181538000120;Parametro Correto
1226;58181538000200;Parametro Correto
3128;50980572000152;Parametro Correto
316;28203797000143;Parametro Correto
#N/D;71753677000149;Empresa não encontrada
2292;29234768000101;Parametro Correto
2093;19694052000133;Parametro Correto
1732;05660278000109;Parametro Correto
1975;01377032000173;Parametro Correto
2079;07075580000125;Parametro Correto
3110;11066188000197;Parametro Correto
1194;19002553000101;Parametro Correto
1310;08252139000134;Parametro Correto
1545;09303818000158;Parametro Correto
#N/D;28946555000140;Empresa não encontrada
1855;02334529000177;Parametro Correto
#N/D;29039141000108;Empresa não encontrada
2315;53748042000171;Parametro Correto
3354;36174716000152;Parametro Correto
3107;05805608000107;Parametro Correto
1172;23807624000110;Parametro Correto
1297;58390501000101;Parametro Correto
1309;10389213000100;Parametro Correto
1543;00221616000192;Parametro Correto
1815;07574844000195;Parametro Correto
#N/D;68451483000184;Empresa não encontrada
#N/D;35782307000176;Empresa não encontrada
2034;04136272000174;Parametro Correto
1080;59010744000130;Parametro Correto
1076;21241759000136;Parametro Correto
2367;19209893000108;Parametro Correto
3086;54738638000153;Parametro Correto
3353;21775433000199;Parametro Correto
1225;05316175000126;Parametro Correto
3186;02975835000192;Parametro Correto
1528;02960131000146;Parametro Correto
2071;14763956000150;Parametro Correto
3531;43921050000114;Parametro Correto
1167;07613479000180;Parametro Correto
2152;03833429000158;Parametro Correto
3198;50888122000134;Parametro Correto
3199;17208486000150;Parametro Correto
1846;23843607000139;Parametro Correto
#N/D;50932946000164;Empresa não encontrada
1262;18996654000182;Parametro Correto
1736;09398995000165;Parametro Correto
980;25275247000141;Parametro Correto
1691;07043690000105;Parametro Correto
2947;13576903000167;Parametro Correto
2335;22087002000100;Parametro Correto
#N/D;22115972000164;Empresa não encontrada
2216;05677536000160;Parametro Correto
3117;59447680000139;Parametro Correto
2221;20089999000102;Parametro Correto
3357;28366414000158;Parametro Correto
2506;15200768000186;Parametro Correto
1953;05943566000170;Parametro Correto
2477;51886810000128;Parametro Correto
1661;02736961000194;Parametro Correto
1738;06237672000100;Parametro Correto
1919;31287285000117;Parametro Correto
2046;36407874000105;Parametro Correto
1709;15284239000108;Parametro Correto
3204;02079340000185;Parametro Correto
1926;30010265000131;Parametro Correto
3411;04737034000114;Parametro Correto
1999;08884847000198;Parametro Correto
2037;11811861000176;Parametro Correto
585;27117585000180;Parametro Correto
1962;11827352000131;Parametro Correto
2269;13848758000126;Parametro Correto
1850;07393858000102;Parametro Correto
1700;03828640000182;Parametro Correto
#N/D;18677966000123;Empresa não encontrada
1364;02817329000175;Parametro Correto
1820;26128693000196;Parametro Correto
#N/D;7787604000179;Empresa não encontrada
#N/D;21215158000159;Empresa não encontrada
1275;11633691000187;Parametro Correto
#N/D;32992242000103;Empresa não encontrada
2148;29911210000113;Parametro Correto
2153;08221702000107;Parametro Correto
1212;09571115000100;Parametro Correto
1722;22563436000121;Parametro Correto
1745;22563436000202;Parametro Correto
2459;33507472000194;Parametro Correto
2436;01163220000107;Parametro Correto
2525;26627470000173;Parametro Correto
3089;27655244000169;Parametro Correto
1205;25146988000122;Parametro Correto
1244;14699678000119;Parametro Correto
2039;10875675000138;Parametro Correto
1796;25021156000180;Parametro Correto
1970;07103320000116;Parametro Correto
1969;07103320000540;Parametro Correto
2040;06915320000158;Parametro Correto
2433;03448946000103;Parametro Correto
2150;09308634000180;Parametro Correto
#N/D;57212433000128;Empresa não encontrada
1176;07591503000128;Parametro Correto
2981;22255847000150;Parametro Correto
1892;11333041000116;Parametro Correto
1678;36416468000109;Parametro Correto
1497;06048091000111;Parametro Correto
1533;44637601000185;Parametro Correto
1541;11286600000184;Parametro Correto
1981;08794594000161;Parametro Correto
2260;25190202000174;Parametro Correto
3109;23649851000165;Parametro Correto
2001;28354134000120;Parametro Correto
2287;14724487000160;Parametro Correto
#N/D;01419691000125;Empresa não encontrada
1924;36662999000181;Parametro Correto
2249;20269404000192;Parametro Correto
#N/D;09550333000169;Empresa não encontrada
2398;26570616000191;Parametro Correto
2175;26907819000120;Parametro Correto
2253;07312502000105;Parametro Correto
3120;34194125000111;Parametro Correto
2416;04920578000117;Parametro Correto
2435;20348164000111;Parametro Correto
2968;50982396000198;Parametro Correto
4688;11552886000100;Parametro Correto
3323;33978423000130;Parametro Correto
4384;35011765000101;Parametro Correto
1171;35919641000129;Parametro Correto
4505;37807853000140;Parametro Correto
3251;41267714000148;Parametro Correto
3266;45743740000156;Parametro Correto
4426;48276228000135;Parametro Correto
4994;49100372000189;Parametro Correto
4996;50947419000123;Parametro Correto
1175;33899127000143;Parametro Correto
4689;41190424000143;Parametro Correto
2963;66799271000167;Parametro Correto
1177;11563044000146;Parametro Correto
38;09157480000173;Parametro Correto
39;33676488000120;Parametro Correto
