CÓDIGO;CNPJ;STATUS
1222;3,11E+13;Parametro Correto
1224;3,17212E+13;Parametro Correto
1231;1,80052E+13;Parametro Correto
4763;3,50554E+13;Parametro Correto
1235;3,27299E+13;Parametro Correto
523;2,23031E+13;Parametro Correto
3423;4,6407E+13;Parametro Correto
3237;7,30787E+13;Parametro Correto
1316;5,32482E+13;Parametro Correto
548;2,92672E+13;Parametro Correto
1502;3,27407E+13;Parametro Correto
3228;4,92582E+13;Parametro Correto
373;5,89636E+12;Parametro Correto
#N/D;2,77513E+13;Empresa não encontrada
1328;8,69407E+12;Parametro Correto
1336;4,26789E+12;Parametro Correto
1337;1,1605E+13;Parametro Correto
1339;3,4471E+13;Parametro Correto
1350;3,16754E+13;Parametro Correto
2986;1,98405E+13;Parametro Correto
1737;6,25047E+12;Parametro Correto
3078;7,38128E+11;Parametro Correto
1878;2,43266E+13;Parametro Correto
2154;5,34332E+13;Parametro Correto
1018;7,67429E+12;Parametro Correto
1542;2,06217E+13;Parametro Correto
1681;2,77128E+13;Parametro Correto
3544;3,64417E+13;Parametro Correto
1748;8,75648E+12;Parametro Errado
5028;3,15156E+13;Parametro Correto
2332;5,90417E+12;Parametro Correto
2298;3,66091E+13;Parametro Correto
845;4,28948E+13;Parametro Correto
2438;1,02886E+13;Parametro Correto
843;4,20465E+13;Parametro Correto
3144;2,3491E+13;Parametro Correto
826;3,9271E+13;Parametro Correto
1444;4,37151E+13;Parametro Correto
1905;1,88575E+13;Parametro Correto
