CÓDIGO;CNPJ;STATUS
38;51294189000103;Patrimonio OK
39;31725412000112;Patrimonio OK
41;09227727000180;Patrimonio OK
47;09179829000178;Patrimonio OK
48;32744128000156;Patrimonio OK
54;30324077000188;Patrimonio OK
56;13459226000105;Patrimonio OK
80;25242137000345;Patrimonio OK
97;08249022000100;Patrimonio OK
98;14300574000190;Patrimonio OK
109;25242137000183;Patrimonio OK
111;07518452000109;Patrimonio OK
114;25242137000507;Patrimonio OK
116;20982405000180;Patrimonio OK
120;25242137000698;Patrimonio OK
125;25242137000779;Patrimonio OK
131;25242137000850;Patrimonio OK
