CÓDIGO;CNPJ;STATUS
1500;4,39E+13;Regerar OK
1278;3,39E+13;REGERAR ERRO
1289;4,46E+13;REGERAR PULADO!
1340;3,23E+13;Regerar OK
1826;2,36E+13;REGERAR ERRO
1946;1,18E+13;REGERAR ERRO
1814;9,54E+12;Regerar OK
2053;1,69E+13;Regerar OK
2016;2,43E+13;Regerar OK
1693;4,91E+12;Regerar OK
1207;2,90E+12;Regerar OK
3480;2,95E+13;Regerar OK
1986;3,21E+13;Regerar OK
#N/D;4,55E+13;Empresa não encontrada
1557;1,85E+12;Regerar OK
3530;5,05E+13;Regerar OK
2268;5,61E+12;Regerar OK
2223;1,35E+13;REGERAR ERRO
2282;2,03E+13;Regerar OK
1197;5,36E+12;REGERAR ERRO
3299;5,36E+12;Regerar OK
120;5,82E+13;Regerar OK
1226;5,82E+13;Regerar OK
3128;5,10E+13;Regerar OK
316;2,82E+13;REGERAR PULADO!
#N/D;7,18E+13;Empresa não encontrada
2292;2,92E+13;Regerar OK
2093;1,97E+13;Regerar OK
1732;5,66E+12;Regerar OK
2079;7,08E+12;Regerar OK
3110;1,11E+13;Regerar OK
1194;1,90E+13;Regerar OK
1310;8,25E+12;Regerar OK
1545;9,30E+12;Regerar OK
#N/D;2,89E+13;Empresa não encontrada
1855;2,33E+12;Regerar OK
#N/D;2,90E+13;Empresa não encontrada
2315;5,37E+13;REGERAR ERRO
3354;3,62E+13;Regerar OK
3107;5,81E+12;Regerar OK
1172;2,38E+13;Regerar OK
1297;5,84E+13;Regerar OK
1309;1,04E+13;Regerar OK
1543;2,22E+11;Regerar OK
1815;7,57E+12;Regerar OK
#N/D;6,85E+13;Empresa não encontrada
#N/D;3,58E+13;Empresa não encontrada
2034;4,14E+12;Regerar OK
1080;5,90E+13;Regerar OK
1076;2,12E+13;Regerar OK
2367;1,92E+13;Regerar OK
3086;5,47E+13;Regerar OK
3353;2,18E+13;Regerar OK
1225;5,32E+12;Regerar OK
3186;2,98E+12;Regerar OK
1528;2,96E+12;REGERAR PULADO!
2071;1,48E+13;REGERAR ERRO
3531;4,39E+13;Regerar OK
1167;7,61E+12;REGERAR ERRO
2152;3,83E+12;REGERAR ERRO
3198;5,09E+13;Regerar OK
3199;1,72E+13;Regerar OK
1846;2,38E+13;Regerar OK
#N/D;5,09E+13;Empresa não encontrada
1262;1,90E+13;Regerar OK
1736;9,40E+12;Regerar OK
980;2,53E+13;Regerar OK
1691;7,04E+12;Regerar OK
2947;1,36E+13;Regerar OK
2335;2,21E+13;Regerar OK
#N/D;2,21E+13;Empresa não encontrada
2216;5,68E+12;Regerar OK
3117;5,94E+13;REGERAR ERRO
3357;2,84E+13;Regerar OK
2506;1,52E+13;Regerar OK
1953;5,94E+12;REGERAR ERRO
2477;5,19E+13;Regerar OK
1661;2,74E+12;Regerar OK
1738;6,24E+12;Regerar OK
1919;3,13E+13;Regerar OK
2046;3,64E+13;Regerar OK
1709;1,53E+13;Regerar OK
3204;2,08E+12;REGERAR ERRO
1926;3,00E+13;Regerar OK
3411;4,74E+12;REGERAR ERRO
1999;8,88E+12;Regerar OK
2037;1,18E+13;REGERAR ERRO
585;2,71E+13;Regerar OK
1962;1,18E+13;Regerar OK
2269;1,38E+13;Regerar OK
1850;7,39E+12;Regerar OK
1700;3,83E+12;Regerar OK
#N/D;1,87E+13;Empresa não encontrada
1364;2,82E+12;Regerar OK
1820;2,61E+13;Regerar OK
#N/D;7,79E+12;Empresa não encontrada
#N/D;2,12E+13;Empresa não encontrada
1275;1,16E+13;Regerar OK
#N/D;3,30E+13;Empresa não encontrada
2148;2,99E+13;Regerar OK
2153;8,22E+12;Regerar OK
1212;9,57E+12;REGERAR ERRO
1722;2,26E+13;Regerar OK
1745;2,26E+13;Regerar OK
2459;3,35E+13;Regerar OK
2436;1,16E+12;Regerar OK
2525;2,66E+13;Regerar OK
3089;2,77E+13;Regerar OK
1205;2,51E+13;Regerar OK
1244;1,47E+13;Regerar OK
2039;1,09E+13;Regerar OK
1796;2,50E+13;REGERAR ERRO
1970;7,10E+12;Regerar OK
1969;7,10E+12;Regerar OK
2040;6,92E+12;Regerar OK
2433;3,45E+12;REGERAR ERRO
2150;9,31E+12;Regerar OK
#N/D;5,72E+13;Empresa não encontrada
1557;1,85E+12;Regerar OK
3530;5,05E+13;Regerar OK
2268;5,61E+12;Regerar OK
2223;1,35E+13;REGERAR ERRO
2282;2,03E+13;Regerar OK
1197;5,36E+12;REGERAR ERRO
3299;5,36E+12;Regerar OK
120;5,82E+13;Regerar OK
1226;5,82E+13;Regerar OK
3128;5,10E+13;Regerar OK
316;2,82E+13;REGERAR PULADO!
#N/D;7,18E+13;Empresa não encontrada
2292;2,92E+13;Regerar OK
2093;1,97E+13;Regerar OK
1732;5,66E+12;Regerar OK
2079;7,08E+12;Regerar OK
3110;1,11E+13;Regerar OK
1194;1,90E+13;Regerar OK
1310;8,25E+12;Regerar OK
1545;9,30E+12;Regerar OK
#N/D;2,89E+13;Empresa não encontrada
1855;2,33E+12;Regerar OK
#N/D;2,90E+13;Empresa não encontrada
2315;5,37E+13;REGERAR ERRO
3354;3,62E+13;Regerar OK
3107;5,81E+12;Regerar OK
1172;2,38E+13;Regerar OK
1297;5,84E+13;Regerar OK
1309;1,04E+13;Regerar OK
1543;2,22E+11;Regerar OK
1815;7,57E+12;Regerar OK
#N/D;6,85E+13;Empresa não encontrada
#N/D;3,58E+13;Empresa não encontrada
2034;4,14E+12;Regerar OK
1080;5,90E+13;Regerar OK
1076;2,12E+13;Regerar OK
2367;1,92E+13;Regerar OK
3086;5,47E+13;Regerar OK
3353;2,18E+13;Regerar OK
1225;5,32E+12;Regerar OK
3186;2,98E+12;Regerar OK
1528;2,96E+12;REGERAR PULADO!
2071;1,48E+13;REGERAR ERRO
3531;4,39E+13;Regerar OK
1167;7,61E+12;REGERAR ERRO
2152;3,83E+12;REGERAR ERRO
3198;5,09E+13;Regerar OK
