CÓDIGO;CNPJ;STATUS
2968;50982396000198;Parametro Correto
56;11059127000100;Parametro Correto
1198;01171887000143;Parametro Correto
3775;50705541000193;Parametro Correto
1200;20984999000168;Parametro Correto
1202;03804413000117;Parametro Correto
1203;07165698000144;Parametro Correto
1370;43540963000190;Parametro Correto
1204;10510256000100;Parametro Correto
1206;28295765000115;Parametro Correto
1766;18416550000151;Parametro Correto
1954;20026029000150;Parametro Correto
92;33378672000194;Parametro Correto
2971;09582812000167;Parametro Correto
1211;30848146000152;Parametro Correto
1213;02632056000194;Parametro Correto
2565;22768813000169;Parametro Correto
97;08944665000165;Parametro Correto
1215;29753585000100;Parametro Correto
1219;26686452000162;Parametro Correto
1220;13981338000113;Parametro Correto
1221;27406747000109;Parametro Correto
1222;31099999000100;Parametro Correto
109;29886718000109;Parametro Correto
1224;31721172000188;Parametro Correto
111;29957669000158;Parametro Correto
1231;18005187000181;Parametro Correto
4763;35055379000111;Parametro Correto
1233;19348692000191;Parametro Correto
1235;32729886000103;Parametro Correto
1236;02824098000208;Parametro Correto
1237;02824098000399;Parametro Correto
1241;09371245000108;Parametro Correto
1245;09179829000178;Parametro Correto
1755;40342725000182;Parametro Correto
1248;15741674000114;Parametro Correto
215;00743745000140;Parametro Correto
1263;33483669000130;Parametro Correto
1266;26096213000233;Parametro Correto
1272;10465450000103;Parametro Correto
2978;09377019000126;Parametro Correto
4384;35011765000101;Parametro Correto
1284;17160690000149;Parametro Correto
295;05572047000143;Parametro Correto
1287;10510269000171;Parametro Correto
1228;05634377000116;Parametro Correto
523;22303091000177;Parametro Correto
2979;13379766000170;Parametro Correto
3423;46407004000190;Parametro Correto
1302;47008982000121;Parametro Correto
1305;65448110000166;Parametro Correto
1316;53248191000171;Parametro Correto
548;29267190000190;Parametro Correto
1502;32740660000103;Parametro Correto
3228;49258180000103;Parametro Correto
373;05896363000170;Parametro Correto
2983;71973176000178;Parametro Correto
374;21436641000163;Parametro Correto
1326;36059884000105;Parametro Correto
73;27751271000135;Parametro Correto
1328;08694073000132;Parametro Correto
1334;08090632000103;Parametro Correto
1336;04267892000142;Parametro Correto
1337;11605023000146;Parametro Correto
1339;34471021000107;Parametro Correto
1350;31675444000150;Parametro Correto
2986;19840481000171;Parametro Correto
1585;07584276000103;Parametro Correto
116;03135585000145;Parametro Correto
2505;10532145000197;Parametro Correto
1739;11265221000108;Parametro Correto
80;31632774000169;Parametro Correto
1442;11625485000125;Parametro Correto
22;07591154000144;Parametro Correto
1597;47630991000150;Parametro Correto
1230;04609865000100;Parametro Correto
2559;51421048000104;Parametro Correto
3399;37826847000130;Parametro Correto
3186;02975835000192;Parametro Correto
410;06213892000195;Parametro Correto
417;07230090000156;Parametro Correto
24;71605935000140;Parametro Correto
426;17357197000113;Parametro Correto
433;05777031000177;Parametro Correto
437;10781209000193;Parametro Correto
1487;44636892000197;Parametro Correto
448;13523641000172;Parametro Correto
4214;45458836000172;Parametro Correto
1384;57843476000101;Parametro Correto
478;01896036000249;Parametro Correto
482;44947935000155;Parametro Correto
3000;67418947000198;Parametro Correto
2299;29161423000175;Parametro Correto
1449;19318436000151;Parametro Correto
3001;00811577000183;Parametro Correto
2387;31227098000148;Parametro Correto
1630;63022644000109;Parametro Correto
3004;57059800000103;Parametro Correto
98;09506104000147;Parametro Correto
530;53242814000107;Parametro Correto
2188;28353492000118;Parametro Correto
536;04281784000124;Parametro Correto
538;02718395000198;Parametro Correto
542;01169018000184;Parametro Correto
4991;07635101000188;Parametro Correto
4815;03239661000162;Parametro Correto
583;11463410000195;Parametro Correto
1495;53500476000158;Parametro Correto
1614;06536576000154;Parametro Correto
34;21423874000121;Parametro Correto
1485;93379121000177;Parametro Correto
1824;02026752000157;Parametro Correto
1608;00253114000143;Parametro Correto
1546;52755899000156;Parametro Correto
612;13238113000171;Parametro Correto
125;00668328000180;Parametro Correto
131;13761210000144;Parametro Correto
134;20396484000147;Parametro Correto
631;08389465000198;Parametro Correto
639;28047153000103;Parametro Correto
3029;08968127000100;Parametro Correto
642;24254901000178;Parametro Correto
2189;30659586000161;Parametro Correto
665;03653451000116;Parametro Correto
3035;02446824000115;Parametro Correto
1547;67372599000165;Parametro Correto
675;10921281000179;Parametro Correto
4142;29029313000154;Parametro Correto
1551;48201156000167;Parametro Correto
1618;50047893000107;Parametro Correto
683;37751009000144;Parametro Correto
3041;60307642000160;Parametro Correto
5038;32176549000128;Parametro Correto
687;45985132000158;Parametro Correto
1592;03837593000133;Parametro Correto
2353;19404491000164;Parametro Correto
1251;22501532000145;Parametro Correto
2354;39669892000153;Parametro Correto
725;62385067000149;Parametro Correto
732;22417649000145;Parametro Correto
3286;49839427000177;Parametro Correto
1522;01921183000140;Parametro Correto
803;17342559000100;Parametro Correto
806;07972825000117;Parametro Correto
824;15455886000135;Parametro Correto
825;09489767000109;Parametro Correto
2233;19964951000109;Parametro Correto
883;11168365000146;Parametro Correto
3049;10230301000165;Parametro Correto
3051;12793042000106;Parametro Correto
191;04568171000172;Parametro Correto
1997;14766681000108;Parametro Correto
2116;16629483000128;Parametro Correto
192;36609290000112;Parametro Correto
194;20404567000130;Parametro Correto
983;00709385000160;Parametro Correto
1555;20425563000139;Parametro Correto
1631;57697120000107;Parametro Correto
3597;48284336000150;Parametro Correto
3071;71623888000167;Parametro Correto
#N/D;24488469000180;Empresa não encontrada
1556;51300143000150;Parametro Correto
2444;01039449000126;Parametro Correto
3482;14216358000160;Parametro Correto
1560;12835935000177;Parametro Correto
2161;33226768000137;Parametro Correto
2557;03316575000106;Parametro Correto
1161;96173422000138;Parametro Correto
1759;02621434000134;Parametro Correto
1116;12116884000123;Parametro Correto
1443;18217582000128;Parametro Correto
1606;59575332000147;Parametro Correto
1571;10802744000183;Parametro Correto
1103;42511518000130;Parametro Correto
1096;18496811000190;Parametro Correto
3642;48742402000198;Parametro Correto
1093;14412268000145;Parametro Correto
1092;00605927000155;Parametro Correto
875;08172712000108;Parametro Correto
1075;09094177000179;Parametro Correto
3073;22958266000184;Parametro Correto
2347;21516556000105;Parametro Correto
1586;12374498000131;Parametro Correto
1617;07104918000120;Parametro Correto
1588;66637257000167;Parametro Correto
4382;24107405000191;Parametro Correto
2226;20902584000106;Parametro Correto
3078;00738128000157;Parametro Correto
1048;12596018000187;Parametro Correto
3217;07380676000105;Parametro Correto
1463;11131871000160;Parametro Correto
1626;46124988000100;Parametro Correto
1806;62978283000106;Parametro Correto
1041;04351916000147;Parametro Correto
1402;29355833000157;Parametro Correto
1878;24326629000194;Parametro Correto
1572;03501212000140;Parametro Correto
1019;56309230000191;Parametro Correto
1018;07674290000106;Parametro Correto
2217;11218991000108;Parametro Correto
3445;46678138000145;Parametro Correto
1602;08179912000184;Parametro Correto
2097;10721486000100;Parametro Correto
1403;08401560000160;Parametro Correto
3439;46572808000144;Parametro Correto
