CÓDIGO;CNPJ;STATUS
1172;2,38076E+13;Parametro Correto
1173;2,38076E+13;Parametro Correto
2963;6,67993E+13;Parametro Correto
1176;7,5915E+12;Parametro Correto
3688;2,09824E+13;Parametro Correto
1193;6,13632E+12;Parametro Correto
1194;1,90026E+13;Parametro Correto
1197;5,35952E+12;Parametro Correto
3299;5,35952E+12;empresa erro modulo
1500;4,38572E+13;Parametro Correto
1205;2,5147E+13;Parametro Correto
1207;2,90175E+12;Parametro Correto
1210;3,59197E+13;Parametro Correto
1218;1,28506E+13;Parametro Correto
1225;5,31618E+12;Parametro Correto
120;5,81815E+13;Parametro Correto
1226;5,81815E+13;Parametro Correto
1244;1,46997E+13;Parametro Correto
3357;2,83664E+13;Parametro Correto
1262;1,89967E+13;Parametro Correto
1265;2,60962E+13;Parametro Correto
1270;6,78507E+13;Parametro Correto
1275;1,16337E+13;Parametro Correto
3552;4,4589E+13;Parametro Correto
3128;5,09806E+13;Parametro Correto
305;5,12942E+13;Parametro Correto
1290;5,33244E+12;Parametro Correto
1297;5,83905E+13;Parametro Correto
342;1,70232E+13;Parametro Correto
347;1,38285E+12;Parametro Correto
19;3,29922E+13;Parametro Correto
1308;3,84456E+12;Parametro Correto
1309;1,03892E+13;Parametro Correto
1310;8,25214E+12;Parametro Correto
2981;2,22558E+13;Parametro Correto
3653;4,87386E+13;Parametro Correto
1340;3,2264E+13;Parametro Correto
1341;2,88044E+13;Parametro Correto
1343;4,16442E+11;Parametro Correto
1345;6,54479E+13;Parametro Correto
6;2,93692E+12;Parametro Correto
386;1,03624E+12;Parametro Correto
2000;1,88761E+13;Parametro Correto
2024;2,47009E+13;Parametro Correto
2506;1,52008E+13;Parametro Correto
1866;3,62816E+13;Parametro Correto
1736;9,399E+12;Parametro Correto
2038;1,43006E+13;Parametro Correto
2398;2,65706E+13;Parametro Correto
1757;2,8429E+13;Empresa não encontrada
2094;3,81372E+13;Parametro Correto
2507;1,14581E+13;Parametro Correto
2228;1,37713E+13;Parametro Correto
1543;2,21616E+11;Parametro Correto
26;7,17537E+13;Parametro Correto
1986;3,21162E+13;Parametro Correto
2292;2,92348E+13;Parametro Correto
2458;3,27441E+13;Parametro Correto
1545;9,30382E+12;Parametro Correto
2093;1,96941E+13;Parametro Correto
537;9,25889E+12;Parametro Correto
2149;8,39113E+11;Parametro Correto
114;3,22055E+13;Parametro Correto
2037;1,18119E+13;Parametro Correto
1994;6,91351E+11;Parametro Correto
585;2,71176E+13;Parametro Correto
1737;6,25047E+12;Parametro Correto
1815;7,57484E+12;Parametro Correto
