CÓDIGO;CNPJ;STATUS
4688;1,16E+13;Patrimonio OK
3323;3,40E+13;Patrimonio OK
1171;3,59E+13;Patrimonio OK
4505;3,78E+13;Patrimonio OK
3251;4,13E+13;Patrimonio OK
3266;4,57E+13;Patrimonio OK
4426;4,83E+13;Patrimonio OK
4994;4,91E+13;Patrimonio OK
4996;5,09E+13;Patrimonio OK
1175;3,39E+13;Patrimonio OK
4689;4,12E+13;Patrimonio OK
1177;1,16E+13;Patrimonio OK
38;9,16E+12;Patrimonio OK
39;3,37E+13;Patrimonio OK
288;8,64E+12;Patrimonio OK
1180;2,78E+13;Patrimonio OK
41;1,50E+13;Patrimonio OK
1182;2,98E+13;Patrimonio OK
1184;1,07E+13;Patrimonio OK
2965;1,19E+13;Patrimonio OK
4969;4,82E+13;Patrimonio OK
3689;1,19E+13;Patrimonio OK
1185;1,05E+13;Patrimonio OK
1186;1,07E+13;Patrimonio OK
2964;9,25E+12;Patrimonio OK
3812;4,16E+13;Patrimonio OK
47;2,02E+13;Patrimonio OK
1187;2,68E+13;Patrimonio OK
48;4,98E+12;Patrimonio OK
1367;4,36E+13;Patrimonio OK
1188;3,00E+13;Patrimonio OK
1189;1,47E+13;Patrimonio OK
1190;1,19E+13;Patrimonio OK
4968;5,23E+13;Patrimonio OK
1191;5,24E+13;Patrimonio OK
1192;7,53E+12;Patrimonio OK
54;3,82E+13;Patrimonio OK
2968;5,10E+13;Patrimonio OK
56;1,11E+13;Patrimonio OK
1198;1,17E+12;Patrimonio OK
3775;5,07E+13;Patrimonio OK
1200;2,10E+13;Patrimonio OK
1202;3,80E+12;Patrimonio OK
1203;7,17E+12;Patrimonio OK
1370;4,35E+13;Patrimonio OK
1204;1,05E+13;Patrimonio OK
1206;2,83E+13;Patrimonio OK
1766;1,84E+13;Patrimonio OK
1954;2,00E+13;Patrimonio OK
92;3,34E+13;Patrimonio OK
2971;9,58E+12;Patrimonio OK
1211;3,08E+13;Patrimonio OK
1213;2,63E+12;Patrimonio OK
2565;2,28E+13;Patrimonio OK
97;8,94E+12;Patrimonio OK
1215;2,98E+13;Patrimonio OK
1219;2,67E+13;Patrimonio OK
1220;1,40E+13;Patrimonio OK
1221;2,74E+13;Patrimonio OK
1222;3,11E+13;Patrimonio OK
109;2,99E+13;Patrimonio OK
1224;3,17E+13;Patrimonio OK
111;3,00E+13;Patrimonio OK
1231;1,80E+13;Patrimonio OK
4763;3,51E+13;Patrimonio OK
1233;1,93E+13;Patrimonio OK
1235;3,27E+13;Patrimonio OK
1236;2,82E+12;Patrimonio OK
1237;2,82E+12;Patrimonio OK
1241;9,37E+12;Patrimonio OK
1245;9,18E+12;Patrimonio OK
1755;4,03E+13;Patrimonio OK
1248;1,57E+13;Patrimonio OK
215;7,44E+11;Patrimonio OK
1263;3,35E+13;Patrimonio OK
1266;2,61E+13;Patrimonio OK
1272;1,05E+13;Patrimonio OK
2978;9,38E+12;Patrimonio OK
4384;3,50E+13;Patrimonio OK
1284;1,72E+13;Patrimonio OK
295;5,57E+12;Patrimonio OK
1287;1,05E+13;Patrimonio OK
1228;5,63E+12;Patrimonio OK
523;2,23E+13;Patrimonio OK
2979;1,34E+13;Patrimonio OK
3423;4,64E+13;Patrimonio OK
1302;4,70E+13;Patrimonio OK
1305;6,54E+13;Patrimonio OK
1316;5,32E+13;Patrimonio OK
548;2,93E+13;Patrimonio OK
1502;3,27E+13;Patrimonio OK
3228;4,93E+13;Patrimonio OK
373;5,90E+12;Patrimonio OK
2983;7,20E+13;Patrimonio OK
374;2,14E+13;Patrimonio OK
1326;3,61E+13;Patrimonio OK
73;2,78E+13;Patrimonio OK
1328;8,69E+12;Patrimonio OK
1334;8,09E+12;Patrimonio OK
1336;4,27E+12;Patrimonio OK
1337;1,16E+13;Patrimonio OK
1339;3,45E+13;Patrimonio OK
1350;3,17E+13;Patrimonio OK
2986;1,98E+13;Patrimonio OK
1585;7,58E+12;Patrimonio OK
116;3,14E+12;Patrimonio OK
2505;1,05E+13;Patrimonio OK
1739;1,13E+13;Patrimonio OK
80;3,16E+13;Patrimonio OK
1442;1,16E+13;Patrimonio OK
22;7,59E+12;Patrimonio OK
1597;4,76E+13;Patrimonio OK
1230;4,61E+12;Patrimonio OK
2559;5,14E+13;Patrimonio OK
3399;3,78E+13;Patrimonio OK
3186;2,98E+12;Patrimonio OK
410;6,21E+12;Patrimonio OK
417;7,23E+12;Patrimonio OK
24;7,16E+13;Patrimonio OK
426;1,74E+13;Patrimonio OK
433;5,78E+12;Patrimonio OK
437;1,08E+13;Patrimonio OK
1487;4,46E+13;Patrimonio OK
448;1,35E+13;Patrimonio OK
4214;4,55E+13;Patrimonio OK
1384;5,78E+13;Patrimonio OK
478;1,90E+12;Patrimonio OK
482;4,49E+13;Patrimonio OK
3000;6,74E+13;Patrimonio OK
2299;2,92E+13;Patrimonio OK
1449;1,93E+13;Patrimonio OK
3001;8,12E+11;Patrimonio OK
2387;3,12E+13;Patrimonio OK
1630;6,30E+13;Patrimonio OK
3004;5,71E+13;Patrimonio OK
98;9,51E+12;Patrimonio OK
530;5,32E+13;Patrimonio OK
2188;2,84E+13;Patrimonio OK
536;4,28E+12;Patrimonio OK
538;2,72E+12;Patrimonio OK
542;1,17E+12;Patrimonio OK
4991;7,64E+12;Patrimonio OK
4815;3,24E+12;Patrimonio OK
583;1,15E+13;Patrimonio OK
1495;5,35E+13;Patrimonio OK
1614;6,54E+12;Patrimonio OK
34;2,14E+13;Patrimonio OK
1485;9,34E+13;Patrimonio OK
1824;2,03E+12;Patrimonio OK
1608;2,53E+11;Patrimonio OK
1546;5,28E+13;Patrimonio OK
612;1,32E+13;Patrimonio OK
125;6,68E+11;Patrimonio OK
131;1,38E+13;Patrimonio OK
134;2,04E+13;Patrimonio OK
631;8,39E+12;Patrimonio OK
639;2,80E+13;Patrimonio OK
3029;8,97E+12;Patrimonio OK
642;2,43E+13;Patrimonio OK
2189;3,07E+13;Empresa não encontrada
665;3,65E+12;Patrimonio OK
3035;2,45E+12;Patrimonio OK
1547;6,74E+13;Patrimonio OK
675;1,09E+13;Patrimonio OK
4142;2,90E+13;Patrimonio OK
1551;4,82E+13;Patrimonio OK
1618;5,00E+13;Patrimonio OK
683;3,78E+13;Patrimonio OK
3041;6,03E+13;Patrimonio OK
5038;3,22E+13;Patrimonio OK
687;4,60E+13;Patrimonio OK
1592;3,84E+12;Patrimonio OK
2353;1,94E+13;Patrimonio OK
1251;2,25E+13;Patrimonio OK
2354;3,97E+13;Patrimonio OK
725;6,24E+13;Patrimonio OK
732;2,24E+13;Patrimonio OK
3286;4,98E+13;Patrimonio OK
1522;1,92E+12;Patrimonio OK
803;1,73E+13;Patrimonio OK
806;7,97E+12;Patrimonio OK
824;1,55E+13;Patrimonio OK
825;9,49E+12;Patrimonio OK
2233;2,00E+13;Patrimonio OK
883;1,12E+13;Patrimonio OK
3049;1,02E+13;Patrimonio OK
3051;1,28E+13;Patrimonio OK
191;4,57E+12;Patrimonio OK
1997;1,48E+13;Patrimonio OK
2116;1,66E+13;Patrimonio OK
192;3,66E+13;Patrimonio OK
194;2,04E+13;Patrimonio OK
983;7,09E+11;Patrimonio OK
1555;2,04E+13;Patrimonio OK
1631;5,77E+13;Patrimonio OK
3597;4,83E+13;Patrimonio OK
3071;7,16E+13;Patrimonio OK
#N/D;2,45E+13;Empresa não encontrada
1556;5,13E+13;Patrimonio OK
2444;1,04E+12;Patrimonio OK
3482;1,42E+13;Patrimonio OK
1560;1,28E+13;Patrimonio OK
2161;3,32E+13;Patrimonio OK
2557;3,32E+12;Patrimonio OK
1161;9,62E+13;Patrimonio OK
1759;2,62E+12;Patrimonio OK
1116;1,21E+13;Patrimonio OK
1443;1,82E+13;Patrimonio OK
1606;5,96E+13;Patrimonio OK
1571;1,08E+13;Patrimonio OK
1103;4,25E+13;Patrimonio OK
1096;1,85E+13;Patrimonio OK
3642;4,87E+13;Patrimonio OK
1093;1,44E+13;Patrimonio OK
1092;6,06E+11;Patrimonio OK
875;8,17E+12;Patrimonio OK
1075;9,09E+12;Patrimonio OK
3073;2,30E+13;Patrimonio OK
2347;2,15E+13;Patrimonio OK
1586;1,24E+13;Patrimonio OK
1617;7,10E+12;Patrimonio OK
1588;6,66E+13;Patrimonio OK
