CÓDIGO;CNPJ;STATUS
1172;2,38E+13;Regerar OK
1173;2,38E+13;Regerar OK
2963;6,68E+13;Empresa não encontrada
1176;7,59E+12;Regerar OK
3688;2,10E+13;Regerar OK
1193;6,14E+12;Regerar OK
1194;1,90E+13;Regerar OK
1197;5,36E+12;Regerar OK
1500;4,39E+13;Regerar OK
1205;2,51E+13;Regerar OK
1207;2,90E+12;Regerar OK
1210;3,59E+13;Regerar OK
1218;1,29E+13;Regerar OK
1225;5,32E+12;Regerar OK
120;5,82E+13;REGERAR ERRO
1226;5,82E+13;Regerar OK
1244;1,47E+13;Regerar OK
3357;2,84E+13;Regerar OK
1262;1,90E+13;Regerar OK
1265;2,61E+13;Regerar OK
1270;6,79E+13;REGERAR ERRO
1275;1,16E+13;Regerar OK
3552;4,46E+13;Regerar OK
3128;5,10E+13;Regerar OK
305;5,13E+13;REGERAR PULADO!
1290;5,33E+12;Regerar OK
1297;5,84E+13;REGERAR ERRO
342;1,70E+13;REGERAR PULADO!
347;1,38E+12;Regerar OK
19;3,30E+13;Regerar OK
1308;3,84E+12;Regerar OK
1309;1,04E+13;Regerar OK
1310;8,25E+12;Regerar OK
2981;2,23E+13;REGERAR ERRO
3653;4,87E+13;Regerar OK
1340;3,23E+13;Regerar OK
1341;2,88E+13;REGERAR ERRO
1343;4,16E+11;Regerar OK
1345;6,54E+13;Regerar OK
6;2,94E+12;Regerar OK
386;1,04E+12;Regerar OK
2000;1,89E+13;Regerar OK
2024;2,47E+13;Regerar OK
2506;1,52E+13;Regerar OK
1866;3,63E+13;REGERAR ERRO
1736;9,40E+12;Regerar OK
2038;1,43E+13;Regerar OK
2398;2,66E+13;Regerar OK
1757;2,84E+13;Empresa não encontrada
2094;3,81E+13;Regerar OK
2507;1,15E+13;Regerar OK
2228;1,38E+13;REGERAR ERRO
1543;2,22E+11;Regerar OK
26;7,18E+13;Regerar OK
1986;3,21E+13;Regerar OK
2292;2,92E+13;Regerar OK
2458;3,27E+13;Regerar OK
1545;9,30E+12;Regerar OK
2093;1,97E+13;Regerar OK
537;9,26E+12;Regerar OK
2149;8,39E+11;Regerar OK
114;3,22E+13;Regerar OK
2037;1,18E+13;Regerar OK
1994;6,91E+11;Regerar OK
585;2,71E+13;Regerar OK
1737;6,25E+12;Regerar OK
1815;7,57E+12;REGERAR ERRO
1953;5,94E+12;Regerar OK
2318;2,07E+13;Regerar OK
2477;5,19E+13;Regerar OK
1661;2,74E+12;Regerar OK
1;2,50E+13;Regerar OK
2275;1,80E+13;REGERAR ERRO
1796;2,50E+13;Regerar OK
2071;1,48E+13;Regerar OK
3531;4,39E+13;Empresa não encontrada
2022;3,48E+13;Regerar OK
1738;6,24E+12;Regerar OK
2231;7,45E+12;Regerar OK
2148;2,99E+13;Regerar OK
139;2,74E+13;Regerar OK
643;2,89E+13;Regerar OK
1861;6,85E+13;Regerar OK
1855;2,33E+12;Regerar OK
146;1,35E+13;Regerar OK
1962;1,18E+13;Regerar OK
1892;1,13E+13;Regerar OK
151;3,58E+13;Regerar OK
1826;2,36E+13;Regerar OK
1995;1,92E+13;Regerar OK
667;2,26E+13;Regerar OK
2082;2,74E+13;Regerar OK
1919;3,13E+13;Regerar OK
1675;1,07E+13;REGERAR ERRO
3037;3,03E+13;Regerar OK
1946;1,18E+13;Regerar OK
2269;1,38E+13;Regerar OK
2561;1,16E+13;REGERAR ERRO
160;3,52E+13;Regerar OK
1167;7,61E+12;Regerar OK
2153;8,22E+12;Regerar OK
2549;1,08E+13;REGERAR ERRO
1906;7,43E+13;REGERAR ERRO
2076;1,22E+13;Regerar OK
2171;2,69E+13;REGERAR ERRO
1742;8,25E+12;Regerar OK
1732;5,66E+12;Regerar OK
