CÓDIGO;CNPJ
4;22896034000149;Apuração com Sucesso
5;40075014000199;;Empresa não encontrada
8;39304376000125;Apuração com Sucesso
37;21888811000140;Apuração com Sucesso
39;33676488000120;Apuração com Sucesso
40;41305374000100;Apuração com Sucesso
56;11059127000100;Apuração com Sucesso
96;67107300000145;Apuração com Sucesso
97;08944665000165;Apuração com Sucesso
100;10452517000175;Apuração com Sucesso
169;41751684000140;Apuração com Sucesso
173;29261383000133;Apuração com Sucesso
176;42359837000171;Apuração com Sucesso
178;31609459000110;Apuração com Sucesso
182;41696716000152;Apuração com Sucesso
188;22228879000166;Apuração com Sucesso
211;40783559000150;Apuração com Sucesso
215;00743745000140;Apuração com Sucesso
236;22558544000106;Apuração com Sucesso
254;19503661000168;Apuração com Sucesso
259;41030187000153;Apuração com Sucesso
269;37201334000133;Apuração com Sucesso
276;26522438000123;Apuração com Sucesso
283;13013044000106;Apuração com Sucesso
317;18697693000189;Apuração com Sucesso
343;57212433000128;Apuração com Sucesso
371;17567240000175;Apuração com Sucesso
427;14251932000111;Apuração com Sucesso
485;41182159000151;Apuração com Sucesso
501;10927634000148;;Empresa não está marcada para usar este sistema
523;22303091000177;Apuração com Sucesso
560;25092406000172;Apuração com Sucesso
589;15309885000182;Apuração com Sucesso
615;42515164000100;Apuração com Sucesso
633;15327743000148;;Empresa não está marcada para usar este sistema
641;07614899000181;;Empresa não está marcada para usar este sistema
659;37703869000102;Apuração com Sucesso
660;25240328000106;Apuração com Sucesso
661;09477785000162;;Empresa não está marcada para usar este sistema
662;26304195000157;Apuração com Sucesso
663;02586314000143;Apuração com Sucesso
677;23286428000148;Apuração com Sucesso
698;06261227000177;Apuração com Sucesso
699;06978123000188;Apuração com Sucesso
725;62385067000149;Apuração com Sucesso
726;18038744000160;Apuração com Sucesso
735;35458717000166;Apuração com Sucesso
742;24666387000188;Apuração com Sucesso
766;13471218000176;Apuração com Sucesso
787;12076001000107;Apuração com Sucesso
812;16382818000156;Apuração com Sucesso
817;04036252000121;Apuração com Sucesso
845;42894796000113;Apuração com Sucesso
866;42603722000180;Apuração com Sucesso
889;15531687000169;Apuração com Sucesso
897;11265716000137;Apuração com Sucesso
975;28577472000120;Apuração com Sucesso
978;37185630000198;Apuração com Sucesso
1003;22414078000195;Apuração com Sucesso
1005;34909548000170;Apuração com Sucesso
1006;31623590000132;Apuração com Sucesso
1007;10953923000111;Apuração com Sucesso
1055;17834296000149;Apuração com Sucesso
1056;37810933000154;Apuração com Sucesso
1079;13994891000190;;Empresa não encontrada
1099;09211221000183;Apuração com Sucesso
1108;04575216000136;Apuração com Sucesso
1147;04102573000187;Apuração com Sucesso
1175;33899127000143;Apuração com Sucesso
1180;27822198000145;Apuração com Sucesso
1195;11342476000127;Apuração com Sucesso
1203;07165698000144;Apuração com Sucesso
1304;02364527000120;Apuração com Sucesso
1336;04267892000142;Apuração com Sucesso
1339;34471021000107;Apuração com Sucesso
1355;18197506000106;Apuração com Sucesso
1386;17407796000102;;Empresa não encontrada
1394;14251932000111;;Empresa não encontrada
1397;63747232000128;Apuração com Sucesso
1399;12367912000185;;Empresa não encontrada
1413;03953561000101;;Empresa não encontrada
1447;23746830000168;Apuração com Sucesso
1455;30400110000101;Apuração com Sucesso
1459;26545844000101;Apuração com Sucesso
1460;12855117000136;Apuração com Sucesso
1462;04332925000190;;Empresa não encontrada
1464;19808041000137;Apuração com Sucesso
1558;96337498000151;Apuração com Sucesso
1562;40139894000110;Apuração com Sucesso
1692;01962115000120;Apuração com Sucesso
1711;35776735000196;Apuração com Sucesso
1748;08756480000127;Apuração com Sucesso
1790;10494522000140;Apuração com Sucesso
1821;21522999000109;Apuração com Sucesso
1837;29416712000178;Apuração com Sucesso
1864;24547862000105;Apuração com Sucesso
1950;33512798000100;Apuração com Sucesso
2025;34687834000139;Apuração com Sucesso
2043;18461246000126;Apuração com Sucesso
2109;28030276000131;Apuração com Sucesso
2130;18532308000143;Apuração com Sucesso
