Dominio;CNPJ;Razao
19;32992242000103;ASSOCIACAO VILAREJO DO BOSQUE
22;07591154000144;CALTEC CARTUCHOS E TONNERS LTDA
24;71605935000140;CELSO TOFOLLI VEICULOS
26;71753677000149;CONDOMINIO EDIFICIO PETUNIA
38;09157480000173;A. FERREIRA DE ALMEIDA - ME
68;09091456000189;B.A.S. CONSTRUCAO CIVIL LTDA
98;09506104000147;DENTAL VALINHOS REPRESENTACOES LTDA
111;29957669000158;ALISUL ALIMENTOS DO SUL LTDA
137;12822076000181;G30 PARTICIPACOES S.A.
152;32837093000108;GONCALVES & GONCALVES TRANSPORTES LTDA
166;22158613000194;JABALI & COUTINHO S/S LTDA
171;66157991000129;JOLICOLOR COMERCIO DE ETIQUETAS ADESIVAS LTDA
172;14070085000199;JOLICOLOR SIGNS COMERCIAL LTDA
179;28172397000118;JUVINI COMERCIO DE VEICULOS LTDA
234;08448834000176;MEDICAL CENTER OFFICE ROOM S/S LTDA
240;24430690000187;MG PARTICIPACOES E INVESTIMENTOS LTDA
280;13312262000133;QUIOSQUE BAR LTDA
281;18677966000123;R. A. MOREIRA ENGENHARIA S/S LIMITADA
293;13881609000169;RF VALINHOS COMERCIO E SERVICOS AUTOMOTIVOS LTDA
298;16502233000122;ASSOCIACAO AMIGOS DA ORQUESTRA DE VIOLAS CULTURA CAIPIRA DE VALINHOS
324;15012182000198;STRUDEL DO PORTO LTDA
328;29378687000185;ASSOCIACAO DE MORADORES RECANTO DOS PASSAROS
353;34163459000128;VENDESK PLATAFORMA DIGITAL DE VENDAS LTDA
361;08275185000159;ASSOCIACAO IGREJA EVANGELICA PENTECOSTAL NASCIDO DE DEUS
369;13741496000104;AUXXILIO TRANSPORTES LTDA
421;07630365000149;CAST COMERCIO DE BRINDES LTDA
448;13523641000172;CLAUDIO PEDRO DE LIMA TRANSPORTES
482;44947935000155;CONCREX INDUSTRIA E COMERCIO DE ARTEFATOS DE CIMEN
530;53242814000107;DOM NERY AUTOMOVEIS LTDA
565;18653129000164;ELETRONICA SANTA RITA LTDA
612;13238113000171;FEVARI COMERCIO VAREJISTA DO VESTUARIO LTDA
679;20637631000123;IGREJA DE DEUS NO BRASIL - RESIDENCIAL SAO LUIZ, VALINHOS - SP
692;08831014000169;ZAFIRA SUPORTE E APOIO ADMINISTRATIVO LTDA
701;40614963000108;WISE SALES LTDA
725;62385067000149;JCE MAQUINAS E EQUIPAMENTOS LTDA
810;01816970000122;THIPOS SOLUCOES EM DOCUMENTACOES EIRELI
822;26217564000174;TEMPLO DE UMBANDA CASA DE ARUANDA
825;09489767000109;K.R.A. COMERCIO DE SORVETES E MILK SHAKES LTDA - M
883;11168365000146;LANCE MMA APOIO ADMINISTRATIVO EIRELI
904;54668454000164;SERESC EDITORA LTDA - ME
937;46237475000105;LOJA MACONICA INCONFIDENCIA TERCEIRO MILENIO
1019;56309230000191;PEREIRA REPRESENTACOES COMERCIAIS LTDA.
1076;21241759000136;MV2 PARTICIPACOES LTDA
1080;59010744000130;MOVIMENTO DEMOCRATICO BRASILEIRO - VALINHOS - SP - MUNICIPAL
1088;06346379000172;M.A.SEIXAS
1094;14334141000155;M. MARQUES SERVICOS ADMINISTRATIVOS LTDA
1161;96173422000138;MARIA CLARA LADEIRA SCRICO
1186;10687547000160;A.R.S.K. COMERCIO DE SORVETES E MILK SHAKES LTDA -
1189;14680600000152;ABRM CONSULTORIA EMPRESARIAL LTDA
1196;29400088000110;ACOCRED FOMENTO MERCANTIL LTDA
1244;14699678000119;AMLABS LTDA
1245;09179829000178;AMP BRASIL INDUSTRIA E COMERCIO DE PECAS LTDA - EPP
1247;29796028000169;ANA CARLA ROTELLA
1272;10465450000103;ARAMIS ANTONIO CABRAL DOMONT
