Número da Nota;CPF/CNPJ do fornecedor;Data de Vencimento da parcela;Data da baixa da parcela;Valor pago;Valor juros;Valor multa;Valor Desconto;Código da conta banco;Unnamed: 9
6;Nã.o E.nco/ntra-do;Não Encontrado;22/08/2024;6987,0;0,0;0;0,0;1060;
46;Nã.o E.nco/ntra-do;Não Encontrado;07/08/2024;360,0;0,0;0;0,0;1060;
112;Nã.o E.nco/ntra-do;Não Encontrado;30/08/2024;870,0;0,0;0;0,0;1060;
183;Nã.o E.nco/ntra-do;Não Encontrado;01/08/2024;193,61;0,0;0;0,0;1060;
1166;Nã.o E.nco/ntra-do;Não Encontrado;06/08/2024;212,5;0,0;0;0,0;1060;
1234;Nã.o E.nco/ntra-do;Não Encontrado;13/08/2024;230,5;0,0;0;0,0;1060;
1296;Nã.o E.nco/ntra-do;Não Encontrado;20/08/2024;279,5;0,0;0;0,0;1060;
1356;Nã.o E.nco/ntra-do;Não Encontrado;27/08/2024;250,5;0,0;0;0,0;1060;
1550;Nã.o E.nco/ntra-do;Não Encontrado;31/08/2024;800,0;0,0;0;0,0;1060;
1855;Nã.o E.nco/ntra-do;Não Encontrado;31/08/2024;5295,0;0,0;0;0,0;1060;
1861;Nã.o E.nco/ntra-do;Não Encontrado;05/08/2024;994,75;0,0;0;0,0;1060;
2411;Nã.o E.nco/ntra-do;Não Encontrado;31/08/2024;156,0;0,0;0;0,0;1060;
9379;Nã.o E.nco/ntra-do;Não Encontrado;22/08/2024;2720,55;0,0;0;0,0;1060;
13551;Nã.o E.nco/ntra-do;Não Encontrado;05/08/2024;1658,0;0,0;0;0,0;1060;
14473;Nã.o E.nco/ntra-do;Não Encontrado;06/08/2024;1470,0;0,0;0;0,0;1060;
16919;Nã.o E.nco/ntra-do;Não Encontrado;19/08/2024;760,75;0,0;0;0,0;1060;
74196;Nã.o E.nco/ntra-do;Não Encontrado;01/08/2024;398,92;0,0;0;30,0;1060;
74354;Nã.o E.nco/ntra-do;Não Encontrado;08/08/2024;199,46;0,0;0;0,0;1060;
74517;Nã.o E.nco/ntra-do;Não Encontrado;15/08/2024;199,46;0,0;0;0,0;1060;
74692;Nã.o E.nco/ntra-do;Não Encontrado;22/08/2024;199,46;0,0;0;0,0;1060;
74853;Nã.o E.nco/ntra-do;Não Encontrado;29/08/2024;199,46;0,0;0;0,0;1060;
88126;Nã.o E.nco/ntra-do;Não Encontrado;16/08/2024;125,2;0,0;0;0,0;1060;
109902;Nã.o E.nco/ntra-do;Não Encontrado;02/08/2024;425,0;0,0;0;0,0;1060;
158724;Nã.o E.nco/ntra-do;Não Encontrado;26/08/2024;210,0;0,0;0;0,0;1060;
183796;Nã.o E.nco/ntra-do;Não Encontrado;27/08/2024;488,88;0,0;0;;1060;
225503;Nã.o E.nco/ntra-do;Não Encontrado;21/08/2024;8631,65;0,0;0;0,0;1060;
558908;Nã.o E.nco/ntra-do;Não Encontrado;05/08/2024;6086,5;0,0;0;0,0;1060;
1770015;Nã.o E.nco/ntra-do;Não Encontrado;27/08/2024;452,58;0,0;0;0,0;1060;
5410984;Nã.o E.nco/ntra-do;Não Encontrado;05/08/2024;56,7;0,0;0;0,0;1060;
