1;24982859000101;FACILITA SISTEMAS DE TECNOLOGIA LTDA
22;07591154000144;CALTEC CARTUCHOS E TONNERS LTDA
24;71605935000140;CELSO TOFOLLI VEICULOS - ME
68;09091456000189;B A S CONSTRUÇÃO CIVIL LTDA
80;31632774000169;C.A.E.E. ADMINISTRACAO DE BENS E PARTICIPACOES LTDA
98;09506104000147;DENTAL VALINHOS REPRESENTACOES LTDA - ME
109;29886718000109;ALGR GERENCIAMENTO E ADMINISTRACAO LTDA
152;32837093000108;GONCALVES & GONCALVES TRANSPORTES LTDA - EXCLUÍDA DO SIMPLES EM 31/12/2021
171;66157991000129;JOLICOLOR COMÉRCIO DE ETIQUETAS ADESIVAS LTDA - NOSSA A PARTIR DE 01/03/2021
172;14070085000199;JOLICOLOR SIGNS COMERCIAL EIRELI - EXCLUÍDA DO SIMPLES EM 31/12/2021
179;28172397000118;JUVINI COMERCIO DE VEICULOS LTDA - ME
280;13312262000133;QUIOSQUE BAR LTDA - ME
288;08636736000162;A. GIGOLOTTI LTDA ME
324;15012182000198;STRUDEL DO PORTO EIRELI - EXCLUÍDA DO SIMPLES EM 31/12/2021
476;01896036000168;CONCREX CONCRETO LIMITADA - ME
500;36663080000102;CV2 PARTICIPAÇÕES LTDA - ABERTURA EM 12/03/2020
692;08831014000169;ZAFIRA SUPORTE E APOIO ADMINISTRATIVO LTDA - NOSSA A PARTIR DE 23/02/2021
701;40614963000108;WISE SALES LTDA - ABERTURA EM 28/01/2021
1019;56309230000191;PEREIRA REPRESENTACOES COMERCIAIS LTDA - ME
1167;07613479000180;INOVA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA
1197;05359515000104;AC-TEC TECNOLOGIA EM CONTROLE DE ACESSO E IDENTIFICACAO LTDA
1228;05634377000116;ASSISTEC ARTIGOS PARA PISCINAS E MANUTENCAO LIMITADA - ME
1241;09371245000108;ALUTON USINAGEM DE PRECISAO LTDA 
1287;10510269000171;ASSIS GOMES & TEIXEIRA LTDA - ME
1343;00416442000113;BIHOLUX SOLUCOES AMBIENTAIS LTDA - EXCLUÍDA DO SIMPLES EM 31/12/2021
1346;23269851000130;BIO GE CONSULTORIA EM MEIO AMBIENTE LTDA
