1;13.138.776/0001-14;FACILITA SISTEMAS DE TECNOLOGIA LTDA
22;07.591.154/0001-44;CALTEC CARTUCHOS E TONNERS LTDA
24;71.605.935/0001-40;CELSO TOFOLLI VEICULOS - ME
68;09.091.456/0001-89;B A S CONSTRUÇÃO CIVIL LTDA
80;31.632.774/0001-69;C.A.E.E. ADMINISTRACAO DE BENS E PARTICIPACOES LTDA
98;09.506.104/0001-47;DENTAL VALINHOS REPRESENTACOES LTDA - ME
109;29.886.718/0001-09;ALGR GERENCIAMENTO E ADMINISTRACAO LTDA
152;32.837.093/0001-08;GONCALVES & GONCALVES TRANSPORTES LTDA - EXCLUÍDA DO SIMPLES EM 31 12 2021
171;66.157.991/0001-29;JOLICOLOR COMÉRCIO DE ETIQUETAS ADESIVAS LTDA - NOSSA A PARTIR DE 01 03 2021
172;14.070.085/0001-99;JOLICOLOR SIGNS COMERCIAL EIRELI - EXCLUÍDA DO SIMPLES EM 31 12 2021
179;28.172.397/0001-18;JUVINI COMERCIO DE VEICULOS LTDA - ME
280;13.312.262/0001-33;QUIOSQUE BAR LTDA - ME
288;08.636.736/0001-62;A. GIGOLOTTI LTDA ME
324;15.012.182/0001-98;STRUDEL DO PORTO EIRELI - EXCLUÍDA DO SIMPLES EM 31 12 2021
476;01.896.036/0001-68;CONCREX CONCRETO LIMITADA - ME
500;36.663.080/0001-02;CV2 PARTICIPAÇÕES LTDA - ABERTURA EM 12 03 2020
692;08.831.014/0001-69;ZAFIRA SUPORTE E APOIO ADMINISTRATIVO LTDA - NOSSA A PARTIR DE 23 02 2021
701;40.614.963/0001-08;WISE SALES LTDA - ABERTURA EM 28 01 2021
1019;56.309.230/0001-91;PEREIRA REPRESENTACOES COMERCIAIS LTDA - ME
1167;07.613.479/0001-80;INOVA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA
1197;05.359.515/0001-04;AC-TEC TECNOLOGIA EM CONTROLE DE ACESSO E IDENTIFICACAO LTDA
1241;09.371.245/0001-08;ALUTON USINAGEM DE PRECISAO LTDA 
1343;00.416.442/0001-13;BIHOLUX SOLUCOES AMBIENTAIS LTDA - EXCLUÍDA DO SIMPLES EM 31 12 2021
1346;23.269.851/0001-30;BIO GE CONSULTORIA EM MEIO AMBIENTE LTDA
1353;09.575.279/0001-06;BOMVAC COMERCIO E SERVICOS LTDA
1361;14.450.504/0001-18;BRASILFRIGO PECAS E EQUIPAMENTOS LTDA - EXCLUÍDA DO SIMPLES EM 01 12 2022
1449;19.318.436/0001-51;CSS MONTAGENS DE ISOLAMENTO TERMICO LTDA
1500;43.857.223/0001-82;ACTION SUPLEMENTOS LTDA - NOSSA A PARTIR DE 15 10 2021 - EXCLUÍDA DO SIMPLES EM 31 12 2021
1543;00.221.616/0001-92;COLOMAQ COMERCIO E LOCACAO DE MAQUINAS LTDA - E-MAIL WANDER EM 06 09 2021 - EMPRESA PASSA A SER PRESUMIDO A PARTIR DE 01 09 2021
1759;02.621.434/0001-34;MARLENE BLUMENTHAL SAEKI
1781;29.930.463/0001-34;MARCHEZAN LOG EIRELI 
1824;02.026.752/0001-57;EXPRESSO LINE LOCACAO DE AUTOMOVEIS VALINHOS EIRELI
1831;33.431.304/0001-62;UNIVALI DISTRIBUIDORA E COMERCIO LTDA
1833;07.571.785/0001-00;ZAGO CALHAS LIMITADA - ME
1836;10.382.324/0001-95;MARCOS PAULO BRAGATO - ME
1872;17.765.036/0001-69;RL ILUMINACAO EIRELI
1879;14.908.342/0001-19;MARCOS PAULO CARIOCA 12067117874
1954;20.026.029/0001-50;AEDL DIGITACAO LTDA - ANTIGA: ROTA DAS VINHAS TRANSPORTES LTDA - EXCLUÍDA DO SIMPLES EM 31 12 2021
2016;24.310.270/0001-67;QUALINOX MONTAGEM E MANUTENCAO INDUSTRIAL EIRELI - EXCLUÍDA DO SIMPLES EM 01 12 2022
2079;07.075.580/0001-25;S & T SISTEMAS DE AUTOMACAO INDUSTRIAL LTDA
