CST_ORIGEM;CODIGO_PRODUTO;DESCRICAO;NCM;EX;CEST
1;00001550;PNEU 185/60 R15 APTANY;40111000;;
2;00001458;PNEU 175/75 R14 HORIZON;40111000;;
2;00001456;PNEU 175/75 R13 HORIZON;40111000;;
2;00001397;PNEU 205/65 R15 XBRI;40111000;;
2;00000765;PNEU 225/45 R17 HORIZON;40111000;;
2;00001333;PNEU 195/55 R15 XBRI;40111000;;
2;00001474;PNEU 205/65 R16 XBRI;40111000;;
5;00000732;PNEU 205/70 R15 FALKEN C;40119090;;
2;00001462;PNEU 185/55 R16 LANVIGATOR;40111000;;
2;00000781;PNEU 205/40 R17 HORIZON;40111000;;
2;00001546;PNEU 185/60 R14 APTANY;40111000;;
2;00001122;PNEU 175/70 R13 SAILUN;40111000;;
2;00001343;PNEU 195/65 R15 XBRI;40111000;;
5;00000713;PNEU 195/65 R15 DUNLOP;40111000;;
2;00001361;PNEU 265/60 R18 HORIZON;40111000;;
2;00001340;PNEU 175/70 R14 JK VECTRA;40111000;;
0;00001249;PNEU 175/65 R14 SUMITOMO;40111000;;
2;00000756;PNEU 195/55 R15 HORIZON;40111000;;
5;00000705;PNEU 175/70 R13 KELLY;40111000;;
5;00000613;PNEU 165/70 R13 KELLY;40111000;;
5;00000734;PNEU 205/75 R16 FALKEN C;40119090;;
2;00001243;PNEU 185/60 R14 XBRI;40111000;;
2;00001240;PNEU 185/60 R15 XBRI;40111000;;
2;00001150;PNEU 185/65 R15 XBRI;40111000;;
5;00000737;PNEU 185/60 R15 DUNLOP;40111000;;
5;00000726;PNEU 205/55 R16 DUNLOP;40111000;;
5;00000722;PNEU 195/60 R15 DUNLOP;40111000;;
5;00000707;PNEU 185/65 R14 DUNLOP;40111000;;
5;00000724;PNEU 185/65 R15 DUNLOP;40111000;;
5;00000614;PNEU 175/70 R13 DUNLOP;40111000;;
2;00001555;PNEU 195/55 R15 APTANY;40111000;;
2;00001548;PNEU 185/65 R15 LINGLONG;40111000;;
2;00001547;PNEU 195/65 R15 APTANY;40111000;;
2;00001511;PNEU 205/55 R16 APTANY;40111000;;
2;00001505;PNEU 175/75 R13 APTANY;40111000;;
2;00000947;PNEU 175/70 R14 SAILUN;40111000;;
2;00000946;PNEU 185/70 R14 SAILUN;40111000;;
2;00000945;PNEU 185/65 R14 SAILUN;40111000;;
2;00001491;PNEU 175/60 R13 APTANY;40111000;;
2;00001310;PNEU 175/65 R15 XBRI;40111000;;
2;00001241;PNEU 195/60 R15 XBRI;40111000;;
2;00000786;PNEU 175/65 R14 SAILUN;40111000;;
2;00000772;PNEU 205/60 R15 HORIZON;40111000;;
5;00000710;PNEU 175/70 R14 DUNLOP;40111000;;
5;00000706;PNEU 175/65 R14 DUNLOP;40111000;;
5;00000612;PNEU 165/70 R13 DUNLOP;40111000;;
2;00001438;PNEU 265/65 R17 XBRI;40111000;;
5;00000797;PNEU 215/50 R17 DUNLOP;40111000;;
5;00001541;PNEU 205/55 R17 DUNLOP;40111000;;
2;00000962;PNEU 205/50 R17 HORIZON;40111000;;
5;00000801;PNEU 215/65 R16 102H PT3 DUNLOP;40111000;;
5;00000727;PNEU 205/60 R16 DUNLOP;40111000;;
2;00000777;PNEU 205/70 R15 HORIZON AT;40111000;;
0;00000708;PNEU 265/70 R16 DUNLOP AT;40111000;;
2;00000974;PNEU 225/55 R18 HIFLY;40111000;;
2;00000757;PNEU 195/60 R15 HORIZON;40111000;;
2;00001309;PNEU 205/60 R16 XBRI AT;40111000;;
5;00001252;PNEU 185/70 R14 SUMITOMO;40111000;;
0;RM005;PNEU REMOLD 175/70 R14;40121100;;
5;00000723;PNEU 175/65 R15 DUNLOP;40111000;;
5;00000787;PNEU 185/55 R16 DUNLOP;40111000;;
5;00000721;PNEU 195/55 R15 DUNLOP;40111000;;
5;00000740;PNEU 225/45 R17 DUNLOP;40111000;;
5;00000712;PNEU 205/65 R15 DUNLOP;40111000;;
2;00001344;PNEU 205/60 R15 XBRI AT;40111000;;
2;00000894;PNEU 235/45 R18 HORIZON;40111000;;
2;00001419;PNEU 185 R14 XBRI C;40119090;;
2;00001364;PNEU 225/65 R17 XBRI;40111000;;
2;00001307;PNEU 235/60 R16 XBRI;40111000;;
2;00001013;PNEU 215/55 R18 HIFLY;40111000;;
5;00001305;PNEU 195/55 R16 DUNLOP;40111000;;
0;00001211;PNEU 215/55 R17 DUNLOP;40111000;;
2;00001282;PNEU 195/55 R16 XBRI;40111000;;
2;00001224;PNEU 215/65 R16 XBRI;40111000;;
5;00000886;PNEU 205/60 R15 DUNLOP;40111000;;
5;00000718;PNEU 185/70 R14 DUNLOP;40111000;;
5;00001213;PNEU 175/65 R14 KELLY;40111000;;
2;00000760;PNEU 205/55 R16 HORIZON;40111000;;
5;00000903;PNEU 205/70 R15 DUNLOP AT;40111000;;
2;00000961;PNEU 185 R14 HORIZON;40111000;;
2;00001342;PNEU 185/70 R14 JK VECTRA;40111000;;
2;00000963;PNEU 215/55 R17 HORIZON;40111000;;
2;00000957;PNEU 205/60 R16 HORIZON;40111000;;
2;00000758;PNEU 195/65 R15 HORIZON;40111000;;
2;00000755;PNEU 185/65 R15 HORIZON;40111000;;
2;00000754;PNEU 185/60 R15 HORIZON;40111000;;
2;00001529;PNEU 205/55 R17 APTANY;40111000;;
