COD;CNPJ;NOME;STATUS
1;Flag Desmarcada;;
2;Flag Desmarcada;;
3;Flag Desmarcada;;
4;Flag Desmarcada;;
5;Flag Desmarcada;;
6;Flag Desmarcada;;
7;Flag Desmarcada;;
8;Flag Desmarcada;;
9;Flag Desmarcada;;
10;Flag Desmarcada;;
11;Flag Desmarcada;;
12;Flag Desmarcada;;
13;Flag Desmarcada;;
14;Flag Desmarcada;;
15;Flag Desmarcada;;
16;Flag Desmarcada;;
17;Flag Desmarcada;;
18;Flag Desmarcada;;
19;Flag Desmarcada;;
20;Flag Desmarcada;;
21;Flag Desmarcada;;
22;Flag Desmarcada;;
23;Flag Desmarcada;;
24;Flag Desmarcada;;
25;Flag Desmarcada;;
26;Os motivos de rescisão não foram informados para cálculo de estabilidade.;;
27;Flag Desmarcada;;
28;Flag Desmarcada;;
29;Flag Desmarcada;;
30;Flag Desmarcada;;
31;Flag Desmarcada;;
32;Flag Desmarcada;;
33;Flag Desmarcada;;
34;Flag Desmarcada;;
35;Flag Desmarcada;;
36;Flag Desmarcada;;
37;Flag Desmarcada;;
38;Flag Desmarcada;;
39;Flag Desmarcada;;
40;Flag Desmarcada;;
41;Flag Desmarcada;;
42;Flag Desmarcada;;
43;Flag Desmarcada;;
44;Flag Desmarcada;;
45;Flag Desmarcada;;
46;Flag Desmarcada;;
47;Flag Desmarcada;;
48;Flag Desmarcada;;
49;Flag Desmarcada;;
50;Flag Desmarcada;;
51;Flag Desmarcada;;
52;Flag Desmarcada;;
53;Flag Desmarcada;;
54;Flag Desmarcada;;
55;Flag Desmarcada;;
56;Flag Desmarcada;;
57;Flag Desmarcada;;
58;Flag Desmarcada;;
59;Flag Desmarcada;;
60;Flag Desmarcada;;
61;Flag Desmarcada;;
62;Flag Desmarcada;;
63;Flag Desmarcada;;
64;Flag Desmarcada;;
65;Flag Desmarcada;;
66;Flag Desmarcada;;
67;Flag Desmarcada;;
68;Flag Desmarcada;;
69;Flag Desmarcada;;
70;Flag Desmarcada;;
71;Flag Desmarcada;;
72;Flag Desmarcada;;
73;Flag Desmarcada;;
74;Flag Desmarcada;;
75;Flag Desmarcada;;
76;Flag Desmarcada;;
77;Flag Desmarcada;;
78;Flag Desmarcada;;
79;Flag Desmarcada;;
80;Flag Desmarcada;;
81;Flag Desmarcada;;
82;Flag Desmarcada;;
83;Flag Desmarcada;;
84;Flag Desmarcada;;
85;Flag Desmarcada;;
86;Flag Desmarcada;;
87;Flag Desmarcada;;
88;Flag Desmarcada;;
89;Flag Desmarcada;;
90;Flag Desmarcada;;
91;Flag Desmarcada;;
92;Flag Desmarcada;;
93;Flag Desmarcada;;
94;Flag Desmarcada;;
95;Flag Desmarcada;;
96;Flag Desmarcada;;
97;Flag Desmarcada;;
98;Flag Desmarcada;;
99;Flag Desmarcada;;
100;Flag Desmarcada;;
101;Flag Desmarcada;;
102;Flag Desmarcada;;
103;Flag Desmarcada;;
104;Flag Desmarcada;;
105;Flag Desmarcada;;
106;Flag Desmarcada;;
107;Flag Desmarcada;;
108;Flag Desmarcada;;
109;Flag Desmarcada;;
110;Flag Desmarcada;;
111;Flag Desmarcada;;
112;Flag Desmarcada;;
113;Flag Desmarcada;;
114;Flag Desmarcada;;
115;Flag Desmarcada;;
116;Flag Desmarcada;;
117;Flag Desmarcada;;
118;Flag Desmarcada;;
119;Flag Desmarcada;;
120;Flag Desmarcada;;
121;Flag Desmarcada;;
122;Flag Desmarcada;;
123;Flag Desmarcada;;
124;Flag Desmarcada;;
125;Flag Desmarcada;;
126;Flag Desmarcada;;
127;Flag Desmarcada;;
128;Flag Desmarcada;;
129;Flag Desmarcada;;
130;Flag Desmarcada;;
131;Flag Desmarcada;;
132;Flag Desmarcada;;
133;Flag Desmarcada;;
134;Flag Desmarcada;;
135;Flag Desmarcada;;
136;Flag Desmarcada;;
137;Flag Desmarcada;;
138;Flag Desmarcada;;
139;Flag Desmarcada;;
140;Flag Desmarcada;;
141;Flag Desmarcada;;
142;Flag Desmarcada;;
143;Flag Desmarcada;;
144;Flag Desmarcada;;
145;Flag Desmarcada;;
146;Flag Desmarcada;;
147;Flag Desmarcada;;
148;Flag Desmarcada;;
149;Flag Desmarcada;;
